date,why,fail,hours,bins,analogs,e0,e1,ch,dis,rda,rrt,deg,fee,net,z,ub,gap,solves,sec,hold,coarse,cold,viol
2025-01-01,ok,,24,288,0,2.000000,2.000000,2.173913,1.840000,34.925530,0.000000,8.027826,2.006957,24.890748,24.890748,24.890748,0.000000,97,1.460065,0,0,0,0.000000
2025-01-02,ok,,24,288,0,2.000000,2.000000,3.544423,3.000000,88.524405,0.000000,13.088847,3.272212,72.163346,72.163346,72.163346,0.000000,97,1.495028,0,0,0,0.000000
2025-01-03,ok,,24,288,0,2.000000,2.000000,4.347826,3.680000,108.127287,0.000000,16.055652,4.013913,88.057722,88.057722,88.057722,0.000000,97,1.575072,0,0,0,0.000000
2025-01-04,ok,,24,288,0,2.000000,2.000000,5.355388,4.532800,187.220827,-0.000000,19.776375,4.944094,162.500358,162.500358,162.500358,0.000000,97,1.536016,0,0,0,0.000000
2025-01-05,ok,,24,288,0,2.000000,2.000000,4.347826,3.680000,162.599339,0.000000,16.055652,4.013913,142.529774,142.529774,142.529774,0.000000,97,1.449700,0,0,0,0.000000
2025-01-06,ok,,24,288,0,2.000000,2.000000,4.725898,4.000000,161.629414,0.000000,17.451796,4.362949,139.814669,139.814669,139.814669,0.000000,97,1.380511,0,0,0,0.000000
2025-01-07,ok,,24,288,0,2.000000,2.000000,4.173913,3.532800,177.651826,0.000000,15.413426,3.853357,158.385043,158.385043,158.385043,0.000000,97,1.326188,0,0,0,0.000000
2025-01-08,ok,,24,288,0,2.000000,2.000000,3.544423,3.000000,95.195766,-0.000000,13.088847,3.272212,78.834707,78.834707,78.834707,0.000000,97,1.542424,0,0,0,0.000000
2025-01-09,ok,,24,288,0,2.000000,2.000000,7.536862,6.379200,274.105904,0.000000,27.832124,6.958031,239.315749,239.315749,239.315749,0.000000,97,1.481630,0,0,0,0.000000
2025-01-10,ok,,24,288,0,2.000000,2.000000,5.907372,5.000000,151.323743,0.000000,21.814745,5.453686,124.055312,124.055312,124.055312,0.000000,97,1.856082,0,0,0,0.000000
2025-01-11,ok,,24,288,0,2.000000,2.000000,4.725898,4.000000,47.848998,0.000000,17.451796,4.362949,26.034253,26.034253,26.034253,0.000000,97,1.614869,0,0,0,0.000000
2025-01-12,ok,,24,288,0,2.000000,2.000000,1.181474,1.000000,9.272703,0.000000,4.362949,1.090737,3.819017,3.819017,3.819017,0.000000,97,1.492003,0,0,0,0.000000
2025-01-13,ok,,24,288,0,2.000000,2.000000,5.907372,5.000000,120.187694,-0.000000,21.814745,5.453686,92.919263,92.919263,92.919263,0.000000,97,1.510038,0,0,0,0.000000
2025-01-14,ok,,24,288,0,2.000000,2.000000,5.355388,4.532800,191.507399,-0.000000,19.776375,4.944094,166.786930,166.786930,166.786930,0.000000,97,1.501153,0,0,0,0.000000
2025-01-15,ok,,24,288,0,2.000000,2.000000,5.355388,4.532800,197.877628,-0.000000,19.776375,4.944094,173.157159,173.157159,173.157159,0.000000,97,1.710135,0,0,0,0.000000
2025-01-16,ok,,24,288,0,2.000000,2.000000,5.355388,4.532800,224.274163,-0.000000,19.776375,4.944094,199.553695,199.553695,199.553695,0.000000,97,1.663705,0,0,0,0.000000
2025-01-17,ok,,24,288,0,2.000000,2.000000,4.725898,4.000000,134.555406,0.000000,17.451796,4.362949,112.740662,112.740662,112.740662,0.000000,97,1.574572,0,0,0,0.000000
2025-01-18,ok,,24,288,0,2.000000,2.000000,3.544423,3.000000,133.032911,0.000000,13.088847,3.272212,116.671853,116.671853,116.671853,0.000000,97,1.537521,0,0,0,0.000000
2025-01-19,ok,,24,288,0,2.000000,2.000000,2.362949,2.000000,166.132231,-0.000000,8.725898,2.181474,155.224858,155.224858,155.224858,0.000000,97,1.816969,0,0,0,0.000000
2025-01-20,ok,,24,288,0,2.000000,2.000000,3.544423,3.000000,322.325539,0.000000,13.088847,3.272212,305.964480,305.964480,305.964480,0.000000,97,1.777261,0,0,0,0.000000
2025-01-21,ok,,24,288,0,2.000000,2.000000,3.544423,3.000000,256.995822,0.000000,13.088847,3.272212,240.634764,240.634764,240.634764,0.000000,97,1.775307,0,0,0,0.000000
2025-01-22,ok,,24,288,0,2.000000,2.000000,5.907372,5.000000,333.647788,-0.000000,21.814745,5.453686,306.379357,306.379357,306.379357,0.000000,97,1.927446,0,0,0,0.000000
2025-01-23,ok,,24,288,0,2.000000,2.000000,7.718336,6.532800,255.452887,0.000000,28.502273,7.125568,219.825046,219.825046,219.825046,0.000000,97,1.752303,0,0,0,0.000000
2025-01-24,ok,,24,288,0,2.000000,2.000000,4.173913,3.532800,156.031478,0.000000,15.413426,3.853357,136.764695,136.764695,136.764695,0.000000,97,1.834605,0,0,0,0.000000
2025-01-25,ok,,24,288,0,2.000000,2.000000,5.536862,4.686400,129.166146,0.000000,20.446524,5.111631,103.607991,103.607991,103.607991,0.000000,97,1.824478,0,0,0,0.000000
2025-01-26,ok,,24,288,0,2.000000,2.000000,4.725898,4.000000,89.859924,-0.000000,17.451796,4.362949,68.045180,68.045180,68.045180,0.000000,97,1.845694,0,0,0,0.000000
2025-01-27,ok,,24,288,0,2.000000,2.000000,7.088847,6.000000,250.087958,0.000000,26.177694,6.544423,217.365841,217.365841,217.365841,0.000000,97,1.819635,0,0,0,0.000000
2025-01-28,ok,,24,288,0,2.000000,2.000000,6.536862,5.532800,245.329853,-0.000000,24.139324,6.034831,215.155698,215.155698,215.155698,0.000000,97,1.756922,0,0,0,0.000000
2025-01-29,ok,,24,288,0,2.000000,2.000000,5.544423,4.692800,151.747758,0.000000,20.474447,5.118612,126.154699,126.154699,126.154699,0.000000,97,1.727900,0,0,0,0.000000
2025-01-30,ok,,24,288,0,2.000000,2.000000,8.521739,7.212800,443.594990,0.000000,31.469078,7.867270,404.258642,404.258642,404.258642,0.000000,97,1.853381,0,0,0,0.000000
2025-01-31,ok,,24,288,0,2.000000,2.000000,4.347826,3.680000,181.880957,0.000000,16.055652,4.013913,161.811391,161.811391,161.811391,0.000000,97,1.756376,0,0,0,0.000000
2025-02-01,ok,,24,288,0,2.000000,2.000000,4.355388,3.686400,104.894920,0.000000,16.083575,4.020894,84.790452,84.790452,84.790452,0.000000,97,1.731594,0,0,0,0.000000
2025-02-02,ok,,24,288,0,2.000000,2.000000,6.521739,5.520000,125.370383,0.000000,24.083478,6.020870,95.266035,95.266035,95.266035,0.000000,97,1.963154,0,0,0,0.000000
2025-02-03,ok,,24,288,0,2.000000,2.000000,2.000000,1.692800,22.376608,0.000000,7.385600,1.846400,13.144608,13.144608,13.144608,0.000000,97,1.812971,0,0,0,0.000000
2025-02-04,ok,,24,288,0,2.000000,2.000000,4.173913,3.532800,95.064239,0.000000,15.413426,3.853357,75.797457,75.797457,75.797457,0.000000,97,1.768894,0,0,0,0.000000
2025-02-05,ok,,24,288,0,2.000000,2.000000,6.536862,5.532800,249.391660,-0.000000,24.139324,6.034831,219.217505,219.217505,219.217505,0.000000,97,1.718990,0,0,0,0.000000
2025-02-06,ok,,24,288,0,2.000000,2.000000,4.347826,3.680000,202.190817,0.000000,16.055652,4.013913,182.121252,182.121252,182.121252,0.000000,97,1.829993,0,0,0,0.000000
2025-02-07,ok,,24,288,0,2.000000,2.000000,4.173913,3.532800,65.427012,0.000000,15.413426,3.853357,46.160230,46.160230,46.160230,0.000000,97,1.831254,0,0,0,0.000000
2025-02-08,ok,,24,288,0,2.000000,2.000000,3.189036,2.699200,61.572651,-0.000000,11.776472,2.944118,46.852061,46.852061,46.852061,0.000000,97,1.785692,0,0,0,0.000000
2025-02-09,ok,,24,288,0,2.000000,2.000000,4.173913,3.532800,115.631558,0.000000,15.413426,3.853357,96.364775,96.364775,96.364775,0.000000,97,1.739826,0,0,0,0.000000
2025-02-10,ok,,24,288,0,2.000000,2.000000,7.718336,6.532800,298.899769,0.000000,28.502273,7.125568,263.271928,263.271928,263.271928,0.000000,97,1.849480,0,0,0,0.000000
2025-02-11,ok,,24,288,0,2.000000,2.000000,9.355388,7.918400,256.511651,-0.000000,34.547575,8.636894,213.327183,213.327183,213.327183,0.000000,97,1.673522,0,0,0,0.000000
2025-02-12,ok,,24,288,0,2.000000,2.000000,6.347826,5.372800,231.431572,0.000000,23.441252,5.860313,202.130007,202.130007,202.130007,0.000000,97,1.629898,0,0,0,0.000000
2025-02-13,ok,,24,288,0,2.000000,2.000000,5.347826,4.526400,99.711018,0.000000,19.748452,4.937113,75.025453,75.025453,75.025453,0.000000,97,1.808843,0,0,0,0.000000
2025-02-14,ok,,24,288,0,2.000000,2.000000,4.725898,4.000000,123.286957,0.000000,17.451796,4.362949,101.472212,101.472212,101.472212,0.000000,97,1.718504,0,0,0,0.000000
2025-02-15,ok,,24,288,0,2.000000,2.000000,3.544423,3.000000,138.749660,0.000000,13.088847,3.272212,122.388601,122.388601,122.388601,0.000000,97,1.625797,0,0,0,0.000000
2025-02-16,ok,,24,288,0,2.000000,2.000000,4.173913,3.532800,83.422629,0.000000,15.413426,3.853357,64.155846,64.155846,64.155846,0.000000,97,1.858719,0,0,0,0.000000
2025-02-17,ok,,24,288,0,2.000000,2.000000,4.347826,3.680000,222.724261,0.000000,16.055652,4.013913,202.654696,202.654696,202.654696,0.000000,97,1.915039,0,0,0,0.000000
2025-02-18,ok,,24,288,0,2.000000,2.000000,7.173913,6.072000,263.408367,0.000000,26.491826,6.622957,230.293584,230.293584,230.293584,0.000000,97,1.746161,0,0,0,0.000000
2025-02-19,ok,,24,288,0,2.000000,2.000000,5.355388,4.532800,183.803964,-0.000000,19.776375,4.944094,159.083495,159.083495,159.083495,0.000000,97,1.742477,0,0,0,0.000000
2025-02-20,ok,,24,288,0,2.000000,2.000000,5.907372,5.000000,165.211380,0.000000,21.814745,5.453686,137.942949,137.942949,137.942949,0.000000,97,1.727272,0,0,0,0.000000
2025-02-21,ok,,24,288,0,2.000000,2.000000,6.536862,5.532800,164.077894,0.000000,24.139324,6.034831,133.903739,133.903739,133.903739,0.000000,97,1.924729,0,0,0,0.000000
2025-02-22,ok,,24,288,0,2.000000,2.000000,4.536862,3.840000,119.895345,0.000000,16.753724,4.188431,98.953190,98.953190,98.953190,0.000000,97,2.102454,0,0,0,0.000000
2025-02-23,ok,,24,288,0,2.000000,2.000000,6.521739,5.520000,223.426000,0.000000,24.083478,6.020870,193.321652,193.321652,193.321652,0.000000,97,1.995676,0,0,0,0.000000
2025-02-24,ok,,24,288,0,2.000000,2.000000,7.521739,6.366400,160.690595,0.000000,27.776278,6.944070,125.970248,125.970248,125.970248,0.000000,97,1.930990,0,0,0,0.000000
2025-02-25,ok,,24,288,0,2.000000,2.000000,5.355388,4.532800,90.669240,0.000000,19.776375,4.944094,65.948771,65.948771,65.948771,0.000000,97,1.916979,0,0,0,0.000000
2025-02-26,ok,,24,288,0,2.000000,2.000000,6.370510,5.392000,105.888751,-0.000000,23.525021,5.881255,76.482475,76.482475,76.482475,0.000000,97,2.030594,0,0,0,0.000000
2025-02-27,ok,,24,288,0,2.000000,2.000000,4.173913,3.532800,98.567976,0.000000,15.413426,3.853357,79.301194,79.301194,79.301194,0.000000,97,1.812545,0,0,0,0.000000
