month,days,rda,rrt,deg,fee,net
2025-01,31,3570.996842,6475.596674,527.186517,131.796629,9387.610369
2025-02,28,2740.413704,4749.999188,506.469718,126.617429,6857.325745
2025-03,31,1844.383087,2145.241584,525.024539,131.256135,3333.343997
2025-04,30,1255.391178,1705.219928,411.012691,102.753173,2446.845242
2025-05,31,1070.901350,1425.897382,364.139540,91.034885,2041.624306
2025-06,30,2449.563688,5572.856924,371.614836,92.903709,7557.902068
2025-07,31,6790.750110,6188.203976,462.260667,115.565167,12401.128252
2025-08,31,2904.511572,1432.348497,414.740441,103.685110,3818.434517
2025-09,30,1548.933104,1490.726951,412.532004,103.133001,2523.995050
2025-10,31,3116.956462,1625.261393,617.423801,154.355950,3970.438104
2025-11,30,2242.487510,1913.977319,506.002343,126.500586,3523.961901
2025-12,31,2486.179491,3362.245651,439.821024,109.955256,5298.648862
