date,why,fail,hours,bins,analogs,e0,e1,ch,dis,rda,rrt,deg,fee,net,z,ub,gap,solves,sec,hold,coarse,cold,viol
2025-01-01,ok,,24,288,8,2.000000,2.000000,3.560019,3.013200,-49.250672,92.749348,13.146438,3.286609,27.065629,216.473649,216.473649,0.000062,97,4.618938,0,0,0,0.000000
2025-01-02,ok,,24,288,8,2.000000,2.000000,5.021267,4.250000,-55.345040,166.977531,18.542533,4.635633,88.454324,200.932816,200.932816,0.000075,97,4.620999,0,0,0,0.000000
2025-01-03,ok,,24,288,8,2.000000,2.000000,3.656142,3.094558,50.018191,80.003790,13.501400,3.375350,113.145231,125.207365,125.207365,0.000099,97,4.317101,0,0,0,0.000000
2025-01-04,ok,,24,288,8,2.000000,2.000000,6.710775,5.680000,-32.376489,87.306532,24.781550,6.195388,23.953105,113.215407,113.215407,0.000093,97,4.780060,0,0,0,0.000000
2025-01-05,ok,,24,288,8,2.000000,2.000000,5.923913,5.014000,-20.469956,161.395894,21.875826,5.468957,113.581155,113.215407,113.215407,0.000092,97,4.636302,0,0,0,0.000000
2025-01-06,ok,,24,288,8,2.000000,2.000000,3.469282,2.936400,-291.870522,541.911534,12.811363,3.202841,234.026808,127.872553,127.872553,0.000069,97,5.482606,0,0,0,0.000000
2025-01-07,ok,,24,288,8,2.000000,2.000000,2.469282,2.090000,-335.683294,113.947004,9.118563,2.279641,-233.134494,127.872553,127.872553,0.000094,97,5.280450,0,0,0,0.000000
2025-01-08,ok,,24,288,8,2.000000,2.000000,3.855388,3.263200,-297.587899,112.511157,14.237175,3.559294,-202.873211,170.303980,170.303980,0.000095,97,5.560091,0,0,0,0.000000
2025-01-09,ok,,24,288,8,2.000000,2.000000,3.173913,2.686400,-1.897780,-126.497237,11.720626,2.930157,-143.045800,184.797942,184.799386,0.000039,97,6.445987,0,0,0,0.000000
2025-01-10,ok,,24,288,8,2.000000,2.000000,5.681474,4.808800,-67.349689,296.566745,20.980549,5.245137,202.991370,203.585220,203.585220,0.000062,97,5.145616,0,0,0,0.000000
2025-01-11,ok,,24,288,8,2.000000,2.000000,4.847826,4.103200,-90.969163,436.861620,17.902052,4.475513,323.514892,169.148266,169.148266,0.000080,97,6.050428,0,0,0,0.000000
2025-01-12,ok,,24,288,8,2.000000,2.000000,4.271739,3.615600,-124.133445,163.164830,15.774678,3.943670,19.313037,169.148266,169.148266,0.000099,97,5.990195,0,0,0,0.000000
2025-01-13,ok,,24,288,8,2.000000,2.000000,4.757561,4.026799,51.251223,197.125637,17.568721,4.392180,226.415959,198.637648,198.637648,0.000100,97,5.194956,0,0,0,0.000000
2025-01-14,ok,,24,288,8,2.000000,2.000000,4.957941,4.196401,37.772248,115.328663,18.308684,4.577171,130.215056,198.637648,198.637648,0.000082,97,5.079148,0,0,0,0.000000
2025-01-15,ok,,24,288,8,2.000000,2.000000,2.983932,2.525600,53.581601,-373.127662,11.019064,2.754766,-333.319891,163.253122,163.253122,0.000095,97,5.184913,0,0,0,0.000000
2025-01-16,ok,,24,288,8,2.000000,2.000000,3.173913,2.686400,94.883573,-564.916675,11.720626,2.930157,-484.683885,164.528535,164.528535,0.000099,97,6.372555,0,0,0,0.000000
2025-01-17,ok,,24,288,8,2.000000,2.000000,3.969282,3.359600,-166.655245,60.263331,14.657763,3.664441,-124.714119,264.086413,264.086413,0.000081,97,4.978320,0,0,0,0.000000
2025-01-18,ok,,24,288,8,2.000000,2.000000,5.786862,4.898000,-231.332561,571.615440,21.369724,5.342431,313.570724,236.356312,236.356312,0.000084,97,5.094183,0,0,0,0.000000
2025-01-19,ok,,24,288,8,2.000000,2.000000,5.060019,4.282800,-543.332378,683.006753,18.685638,4.671409,116.317328,236.356312,236.356312,0.000074,97,4.282036,0,0,0,0.000000
2025-01-20,ok,,24,288,8,2.000000,2.000000,4.029301,3.410400,-49.802364,344.670585,14.879401,3.719850,276.268970,293.024384,293.024384,0.000094,97,5.019343,0,0,0,0.000000
2025-01-21,ok,,24,288,8,2.000000,2.000000,2.173913,1.840000,-107.933352,-198.312330,8.027826,2.006957,-316.280464,293.024384,293.024384,0.000094,97,4.812934,0,0,0,0.000000
2025-01-22,ok,,24,288,8,2.000000,2.000000,3.014650,2.551600,-405.379162,134.106705,11.132501,2.783125,-285.188082,300.830166,300.830166,0.000084,97,4.927043,0,0,0,0.000000
2025-01-23,ok,,24,288,8,2.000000,2.000000,3.560019,3.013200,-275.703849,261.027189,13.146438,3.286609,-31.109707,318.215671,318.215671,0.000093,97,5.428704,0,0,0,0.000000
2025-01-24,ok,,24,288,8,2.000000,2.000000,4.446125,3.763200,-353.128899,569.075789,16.418650,4.104662,195.423579,462.165972,462.195886,0.000090,97,5.527510,0,0,0,0.000000
2025-01-25,ok,,24,288,8,2.000000,2.000000,4.247608,3.595175,-189.427428,60.719386,15.685566,3.921391,-148.315000,244.583317,244.583317,0.000082,97,4.872230,0,0,0,0.000000
2025-01-26,ok,,24,288,8,2.000000,2.000000,3.696125,3.128400,-237.110737,174.772410,13.649050,3.412262,-79.399639,244.583317,244.583317,0.000056,97,4.942328,0,0,0,0.000000
2025-01-27,ok,,24,288,8,2.000000,2.000000,6.195514,5.243883,-200.526651,260.037028,22.878794,5.719699,30.911884,490.094501,490.094501,0.000100,97,4.133654,0,0,0,0.000000
2025-01-28,ok,,24,288,8,2.000000,2.000000,6.605388,5.590800,-326.746857,156.812781,24.392375,6.098094,-200.424544,490.094501,490.094501,0.000078,97,4.251760,0,0,0,0.000000
2025-01-29,ok,,24,288,8,2.000000,2.000000,7.029301,5.949600,2.274929,692.057635,25.957801,6.489450,661.885313,319.789377,319.789377,0.000099,97,3.909093,0,0,0,0.000000
