month,days,rda,rrt,deg,fee,net
2025-01,31,-4217.655773,5670.240696,507.963523,126.990881,817.630520
2025-02,28,-3279.398665,7161.118765,541.383040,135.345760,3204.991300
2025-03,31,-2756.531748,4452.208866,465.682564,116.420641,1113.573913
2025-04,30,-1827.331714,3229.782747,459.216271,114.804068,828.430696
2025-05,31,-1473.977922,2833.255107,414.741882,103.685470,840.849833
2025-06,30,-639.151506,-2802.237146,402.088788,100.522197,-3943.999636
2025-07,31,-8251.339973,30495.433873,602.701701,150.675425,21490.716774
2025-08,31,-1564.702715,3387.170620,483.054104,120.763526,1218.650276
2025-09,30,239.102434,1474.684761,417.804326,104.451081,1191.531788
2025-10,31,-1983.142814,6244.981792,543.983812,135.995953,3581.859213
2025-11,30,-1022.638861,3506.489276,564.066836,141.016709,1778.766869
2025-12,31,-1807.525294,2173.737604,404.822647,101.205662,-139.815998
