date,why,fail,hours,bins,analogs,e0,e1,ch,dis,rda,rrt,deg,fee,net,z,ub,gap,solves,sec,hold,coarse,cold,viol
2025-01-01,ok,,24,288,16,2.000000,2.000000,4.355388,3.686400,17.160488,0.000000,16.083575,4.020894,-2.943980,67.338338,67.338338,0.000000,97,1.499461,0,0,0,0.000000
2025-01-02,ok,,24,288,16,2.000000,2.000000,4.725898,4.000000,72.083743,0.000000,17.451796,4.362949,50.268998,58.801069,58.801069,0.000000,97,1.553716,0,0,0,0.000000
2025-01-03,ok,,24,288,16,2.000000,2.000000,3.173913,2.686400,97.193686,0.000000,11.720626,2.930157,82.542904,44.874972,44.874972,0.000000,97,1.487755,0,0,0,0.000000
2025-01-04,ok,,24,288,8,2.000000,2.000000,2.362949,2.000000,130.287335,-0.000000,8.725898,2.181474,119.379962,31.796238,31.796238,0.000000,97,1.540434,0,0,0,0.000000
2025-01-05,ok,,24,288,8,2.000000,2.000000,2.362949,2.000000,116.745331,-0.000000,8.725898,2.181474,105.837958,31.796238,31.796238,0.000000,97,1.520119,0,0,0,0.000000
2025-01-06,ok,,24,288,16,2.000000,2.000000,3.173913,2.686400,139.576561,0.000000,11.720626,2.930157,124.925778,47.358088,47.358088,0.000000,97,1.581463,0,0,0,0.000000
2025-01-07,ok,,24,288,16,2.000000,2.000000,3.173913,2.686400,159.506151,0.000000,11.720626,2.930157,144.855368,47.358088,47.358088,0.000000,97,1.503002,0,0,0,0.000000
2025-01-08,ok,,24,288,16,2.000000,2.000000,3.173913,2.686400,75.812183,0.000000,11.720626,2.930157,61.161400,43.810263,43.810263,0.000000,97,1.301237,0,0,0,0.000000
2025-01-09,ok,,24,288,16,2.000000,2.000000,4.173913,3.532800,86.325695,0.000000,15.413426,3.853357,67.058912,45.984105,45.984105,0.000000,97,1.483275,0,0,0,0.000000
2025-01-10,ok,,24,288,16,2.000000,2.000000,3.173913,2.686400,55.914115,0.000000,11.720626,2.930157,41.263332,55.447893,55.447893,0.000000,97,1.660711,0,0,0,0.000000
2025-01-11,ok,,24,288,8,2.000000,2.000000,3.544423,3.000000,19.977486,0.000000,13.088847,3.272212,3.616427,65.875404,65.875404,0.000000,97,1.780587,0,0,0,0.000000
2025-01-12,ok,,24,288,8,2.000000,2.000000,3.544423,3.000000,-3.297240,0.000000,13.088847,3.272212,-19.658299,65.875404,65.875404,0.000000,97,1.668944,0,0,0,0.000000
2025-01-13,ok,,24,288,16,2.000000,2.000000,3.544423,3.000000,96.567864,0.000000,13.088847,3.272212,80.206805,59.170471,59.170471,0.000000,97,1.668478,0,0,0,0.000000
