month,days,rda,rrt,deg,fee,net
2025-01,31,3873.127799,0.000000,463.750061,115.937515,3293.440223
2025-02,28,3306.222124,0.000000,556.097984,139.024496,2611.099644
2025-03,31,2121.264816,0.000000,619.880808,154.970202,1346.413806
2025-04,30,1597.076208,0.000000,527.183849,131.795962,938.096397
2025-05,31,1416.514262,0.000000,377.873264,94.468316,944.172682
2025-06,30,3549.522689,0.000000,385.747515,96.436879,3067.338296
2025-07,31,8083.611689,0.000000,480.552650,120.138163,7482.920876
2025-08,31,3389.083903,0.000000,491.302957,122.825739,2774.955208
2025-09,30,1964.376325,0.000000,417.656378,104.414095,1442.305852
2025-10,31,2916.704462,0.000000,505.494757,126.373689,2284.836016
2025-11,30,2488.338226,0.000000,621.472411,155.368103,1711.497712
2025-12,31,2971.664334,-0.000000,572.488711,143.122178,2256.053446
