month,days,rda,rrt,deg,fee,net
2025-01,31,5482.114274,-0.000000,558.953098,139.738274,4783.422902
2025-02,28,4146.945536,0.000000,555.378970,138.844743,3452.721823
2025-03,31,2612.398008,0.000000,562.813435,140.703359,1908.881214
2025-04,30,1785.804213,0.000000,445.614155,111.403539,1228.786519
2025-05,31,1581.477115,0.000000,382.110560,95.527640,1103.838915
2025-06,30,4046.992900,0.000000,390.012733,97.503183,3559.476983
2025-07,31,8319.448471,0.000000,495.100467,123.775117,7700.572887
2025-08,31,3495.075517,0.000000,446.291285,111.572821,2937.211411
2025-09,30,2167.343196,0.000000,429.377004,107.344251,1630.621941
2025-10,31,3720.312961,0.000000,669.269390,167.317347,2883.726224
2025-11,30,2939.957080,0.000000,547.253414,136.813353,2255.890312
2025-12,31,3708.620933,0.000000,494.109205,123.527301,3090.984426
