date,why,fail,hours,bins,analogs,e0,e1,ch,dis,rda,rrt,deg,fee,net,z,ub,gap,solves,sec,hold,coarse,cold,viol
2025-01-01,ok,,24,288,8,2.000000,2.000000,5.355388,4.532800,18.441336,-0.000000,19.776375,4.944094,-6.279132,74.888559,74.888559,0.000000,97,4.540545,0,0,0,0.000000
2025-01-02,ok,,24,288,8,2.000000,2.000000,3.173913,2.686400,83.549475,0.000000,11.720626,2.930157,68.898693,36.786967,36.786967,0.000000,97,4.660032,0,0,0,0.000000
2025-01-03,ok,,24,288,8,2.000000,2.000000,4.355388,3.686400,87.792117,0.000000,16.083575,4.020894,67.687648,69.703052,69.703052,0.000000,97,5.011006,0,0,0,0.000000
2025-01-04,ok,,24,288,8,2.000000,2.000000,2.362949,2.000000,130.287335,-0.000000,8.725898,2.181474,119.379962,31.796238,31.796238,0.000000,97,5.066749,0,0,0,0.000000
2025-01-05,ok,,24,288,8,2.000000,2.000000,2.362949,2.000000,116.745331,-0.000000,8.725898,2.181474,105.837958,31.796238,31.796238,0.000000,97,5.264592,0,0,0,0.000000
2025-01-06,ok,,24,288,8,2.000000,2.000000,3.544423,3.000000,128.386427,0.000000,13.088847,3.272212,112.025369,47.375669,47.375669,0.000000,97,4.928188,0,0,0,0.000000
2025-01-07,ok,,24,288,8,2.000000,2.000000,3.544423,3.000000,147.022741,0.000000,13.088847,3.272212,130.661682,47.375669,47.375669,0.000000,97,5.552783,0,0,0,0.000000
2025-01-08,ok,,24,288,8,2.000000,2.000000,3.544423,3.000000,89.879357,0.000000,13.088847,3.272212,73.518299,46.976300,46.976300,0.000000,97,5.762441,0,0,0,0.000000
2025-01-09,ok,,24,288,8,2.000000,2.000000,4.173913,3.532800,124.281519,0.000000,15.413426,3.853357,105.014736,49.662979,49.662979,0.000000,97,5.546122,0,0,0,0.000000
2025-01-10,ok,,24,288,8,2.000000,2.000000,3.544423,3.000000,55.089981,0.000000,13.088847,3.272212,38.728922,66.529319,66.529319,0.000000,97,5.460152,0,0,0,0.000000
2025-01-11,ok,,24,288,8,2.000000,2.000000,3.544423,3.000000,19.977486,0.000000,13.088847,3.272212,3.616427,65.875404,65.875404,0.000000,97,5.394364,0,0,0,0.000000
2025-01-12,ok,,24,288,8,2.000000,2.000000,3.544423,3.000000,-3.297240,0.000000,13.088847,3.272212,-19.658299,65.875404,65.875404,0.000000,97,5.213678,0,0,0,0.000000
2025-01-13,ok,,24,288,8,2.000000,2.000000,4.173913,3.532800,99.442310,0.000000,15.413426,3.853357,80.175527,55.526936,55.526936,0.000000,97,5.169126,0,0,0,0.000000
2025-01-14,ok,,24,288,8,2.000000,2.000000,4.173913,3.532800,150.977729,0.000000,15.413426,3.853357,131.710946,55.526936,55.526936,0.000000,97,5.523539,0,0,0,0.000000
2025-01-15,ok,,24,288,8,2.000000,2.000000,4.355388,3.686400,188.075484,0.000000,16.083575,4.020894,167.971015,63.047753,63.047753,0.000000,97,5.520989,0,0,0,0.000000
2025-01-16,ok,,24,288,8,2.000000,2.000000,3.173913,2.686400,185.957652,0.000000,11.720626,2.930157,171.306870,66.997562,66.997562,0.000000,97,5.418832,0,0,0,0.000000
