date,why,fail,hours,bins,analogs,e0,e1,ch,dis,rda,rrt,deg,fee,net,z,ub,gap,solves,sec,hold,coarse,cold,viol
2025-01-01,ok,,24,288,0,2.000000,2.000000,2.173913,1.840000,13.767436,46.508370,8.027826,2.006957,50.241024,50.241024,50.245872,0.000096,97,2.971672,0,0,0,0.000000
2025-01-02,ok,,24,288,0,2.000000,2.000000,3.477961,2.943746,46.046450,106.591594,12.843413,3.210853,136.583779,135.452041,135.452041,0.000000,97,3.131112,0,0,0,0.000000
2025-01-03,ok,,24,288,0,2.000000,2.000000,3.597826,3.045200,79.965554,59.321714,13.286052,3.321513,122.679702,121.717599,121.717599,0.000000,97,3.178005,0,0,0,0.000000
2025-01-04,ok,,24,288,0,2.000000,2.000000,4.648353,3.934366,101.851885,207.093775,17.165439,4.291360,287.488861,286.320300,286.332813,0.000044,97,2.811873,0,0,0,0.000000
2025-01-05,ok,,24,288,0,2.000000,2.000000,4.097826,3.468400,69.674240,286.122933,15.132452,3.783113,336.881608,336.346191,336.346191,0.000000,97,3.135802,0,0,0,0.000000
2025-01-06,ok,,24,288,0,2.000000,2.000000,4.330645,3.665458,101.106128,236.124361,15.992206,3.998051,317.240231,308.717589,308.717589,0.000000,97,3.184050,0,0,0,0.000000
2025-01-07,ok,,24,288,0,2.000000,2.000000,4.171786,3.531000,149.024587,99.746233,15.405573,3.851393,229.513854,209.919540,209.919540,0.000000,97,3.207569,0,0,0,0.000000
2025-01-08,ok,,24,288,0,2.000000,2.000000,3.249055,2.750000,15.104557,270.063695,11.998110,2.999527,270.170615,265.018512,265.018512,0.000000,97,3.218851,0,0,0,0.000000
2025-01-09,ok,,24,288,0,2.000000,2.000000,6.366936,5.388974,194.927601,243.057004,23.511820,5.877955,408.594830,407.170952,407.170952,0.000099,97,3.799602,0,0,0,0.000000
2025-01-10,ok,,24,288,0,2.000000,2.000000,5.650284,4.782400,87.234745,165.920479,20.865367,5.216342,227.073515,221.373419,221.373419,0.000000,97,3.409875,0,0,0,0.000000
2025-01-11,ok,,24,288,0,2.000000,2.000000,3.782845,3.201800,5.696267,185.518134,13.969290,3.492322,173.752788,159.057248,159.057248,0.000000,97,4.013328,0,0,0,0.000000
2025-01-12,ok,,24,288,0,2.000000,2.000000,1.651887,1.398157,-23.254315,111.407303,6.100087,1.525022,80.527879,75.822394,75.822394,0.000000,97,4.045824,0,0,0,0.000000
2025-01-13,ok,,24,288,0,2.000000,2.000000,4.855388,4.109600,104.669189,109.852786,17.929975,4.482494,192.109506,182.429272,182.429272,0.000000,97,3.569072,0,0,0,0.000000
2025-01-14,ok,,24,288,0,2.000000,2.000000,5.031545,4.258700,133.610034,123.205837,18.580491,4.645123,233.590258,228.319589,228.319589,0.000000,97,4.027559,0,0,0,0.000000
2025-01-15,ok,,24,288,0,2.000000,2.000000,5.185019,4.388600,95.097116,272.253310,19.147238,4.786809,343.416379,337.772878,337.800197,0.000081,97,3.986704,0,0,0,0.000000
2025-01-16,ok,,24,288,0,2.000000,2.000000,5.281545,4.470300,139.611327,360.249622,19.503691,4.875923,475.481336,463.530668,463.548162,0.000038,97,4.310670,0,0,0,0.000000
2025-01-17,ok,,24,288,0,2.000000,2.000000,4.689863,3.969500,73.335958,309.484722,17.318726,4.329681,361.172272,351.048049,351.052731,0.000013,97,3.701263,0,0,0,0.000000
2025-01-18,ok,,24,288,0,2.000000,2.000000,4.071718,3.446302,91.733268,191.177006,15.036039,3.759010,264.115226,250.393294,250.393294,0.000000,97,3.887183,0,0,0,0.000000
2025-01-19,ok,,24,288,0,2.000000,2.000000,3.277528,2.774100,55.818777,263.970084,12.103257,3.025814,304.659790,299.412903,299.412903,0.000000,97,5.070478,0,0,0,0.000000
2025-01-20,ok,,24,288,0,2.000000,2.000000,3.322897,2.812500,139.504655,508.501840,12.270794,3.067698,632.668003,628.801139,628.801139,0.000000,97,3.937728,0,0,0,0.000000
2025-01-21,ok,,24,288,0,2.000000,2.000000,3.618266,3.062500,108.586725,334.809916,13.361531,3.340383,426.694727,419.571157,419.571157,0.000097,97,4.401091,0,0,0,0.000000
2025-01-22,ok,,24,288,0,2.000000,2.000000,5.464319,4.625000,230.253655,291.578607,20.178639,5.044660,496.608963,487.700784,487.700784,0.000000,97,4.172786,0,0,0,0.000000
2025-01-23,ok,,24,288,0,2.000000,2.000000,6.595581,5.582500,227.560990,163.710445,24.356163,6.089041,360.826232,347.698975,347.698975,0.000000,97,4.758788,0,0,0,0.000000
2025-01-24,ok,,24,288,0,2.000000,2.000000,4.236413,3.585700,93.016509,232.560432,15.644226,3.911057,306.021659,282.505225,282.505225,0.000000,97,3.988223,0,0,0,0.000000
2025-01-25,ok,,24,288,0,2.000000,2.000000,5.441635,4.605800,105.363221,148.318479,20.094870,5.023718,228.563112,205.585724,205.585724,0.000000,97,4.862015,0,0,0,0.000000
2025-01-26,ok,,24,288,0,2.000000,2.000000,3.991493,3.378400,45.410594,255.894339,14.739787,3.684947,282.880199,272.333322,272.333322,0.000000,97,4.399463,0,0,0,0.000000
2025-01-27,ok,,24,288,0,2.000000,2.000000,7.156900,6.057600,217.355083,152.272257,26.429000,6.607250,336.591090,321.003968,321.012787,0.000027,97,4.010196,0,0,0,0.000000
2025-01-28,ok,,24,288,0,2.000000,2.000000,6.463020,5.470300,188.264990,181.592270,23.866640,5.966660,340.023960,328.001685,328.001685,0.000000,97,5.090293,0,0,0,0.000000
2025-01-29,ok,,24,288,0,2.000000,2.000000,5.401819,4.572100,96.895884,335.154148,19.947839,4.986960,407.115233,393.560145,393.560145,0.000000,97,3.961301,0,0,0,0.000000
2025-01-30,ok,,24,288,0,2.000000,2.000000,7.719292,6.533609,421.094443,149.148410,28.505802,7.126450,534.610601,511.127633,511.127633,0.000000,97,3.939276,0,0,0,0.000000
2025-01-31,ok,,24,288,0,2.000000,2.000000,3.757089,3.180000,162.669288,74.386571,13.874178,3.468544,219.713137,212.386269,212.386269,0.000000,97,3.858024,0,0,0,0.000000
2025-02-01,ok,,24,288,0,2.000000,2.000000,4.448606,3.765300,71.176745,141.073807,16.427812,4.106953,191.715787,177.040440,177.040440,0.000000,97,4.666532,0,0,0,0.000000
2025-02-02,ok,,24,288,0,2.000000,2.000000,4.417415,3.738900,74.811235,329.117996,16.312630,4.078157,383.538443,370.009894,370.012342,0.000007,97,3.863904,0,0,0,0.000000
2025-02-03,ok,,24,288,0,2.000000,2.000000,2.228645,1.886326,-11.008010,236.328459,8.229942,2.057485,215.033022,210.175406,210.175406,0.000000,97,4.117076,0,0,0,0.000000
2025-02-04,ok,,24,288,0,2.000000,2.000000,3.900756,3.301600,68.117772,123.623735,14.404712,3.601178,173.735617,163.724992,163.724992,0.000000,97,3.715945,0,0,0,0.000000
