month,days,rda,rrt,deg,fee,net
2025-01,31,-531.168488,2150.415319,424.024361,106.006090,1089.216379
2025-02,28,-422.374298,4312.663597,413.867537,103.466884,3372.954877
2025-03,31,-969.690620,2521.734502,403.083093,100.770773,1048.190016
2025-04,30,-656.733588,1831.280991,398.190120,99.547530,676.809753
2025-05,31,-586.035373,2004.249503,327.585881,81.896470,1008.731779
2025-06,30,844.719583,-4810.758897,368.455321,92.113830,-4426.608466
2025-07,31,-2591.310849,17455.549667,519.028022,129.757005,14215.453790
2025-08,31,425.965180,2619.604256,412.987768,103.246942,2529.334725
2025-09,30,686.941326,1116.796610,389.762858,97.440714,1316.534364
2025-10,31,68.121995,3974.230887,488.488902,122.122226,3431.741755
2025-11,30,279.781162,2089.354395,495.680253,123.920063,1749.535241
2025-12,31,-457.885963,1636.980732,371.082997,92.770749,715.241024
