date,why,fail,hours,bins,analogs,e0,e1,ch,dis,rda,rrt,deg,fee,net,z,ub,gap,solves,sec,hold,coarse,cold,viol
2025-01-01,ok,,24,288,16,2.000000,2.000000,3.794423,3.211600,-78.978921,73.566470,14.012047,3.503012,-22.927510,179.615941,179.615941,0.000065,97,2.755953,0,0,0,0.000000
2025-01-02,ok,,24,288,16,2.000000,2.000000,4.400756,3.724800,-63.931885,285.146906,16.251112,4.062778,200.901130,183.705245,183.705245,0.000099,97,3.214327,0,0,0,0.000000
2025-01-03,ok,,24,288,16,2.000000,2.000000,4.135161,3.500000,28.822264,56.035764,15.270321,3.817580,65.770126,161.632875,161.632875,0.000000,97,2.597743,0,0,0,0.000000
2025-01-04,ok,,24,288,8,2.000000,2.000000,6.060019,5.129200,-46.798355,92.379919,22.378438,5.594609,17.608516,138.099290,138.099290,0.000000,97,2.722082,0,0,0,0.000000
2025-01-05,ok,,24,288,8,2.000000,2.000000,6.521739,5.520000,-43.574234,186.275896,24.083478,6.020870,112.597313,138.099290,138.099290,0.000077,97,2.175590,0,0,0,0.000000
2025-01-06,ok,,24,288,16,2.000000,2.000000,3.423913,2.898000,-173.457302,457.128935,12.643826,3.160957,267.866850,168.850749,168.850749,0.000015,97,3.162884,0,0,0,0.000000
2025-01-07,ok,,24,288,16,2.000000,2.000000,2.173913,1.840000,-176.292926,71.201367,8.027826,2.006957,-115.126341,168.850749,168.850749,0.000099,97,3.152962,0,0,0,0.000000
2025-01-08,ok,,24,288,16,2.000000,2.000000,3.469282,2.936400,-295.726771,-55.363962,12.811363,3.202841,-367.104937,176.550536,176.550536,0.000096,97,3.243241,0,0,0,0.000000
2025-01-09,ok,,24,288,16,2.000000,2.000000,3.560019,3.013200,-91.673454,-148.833890,13.146438,3.286609,-256.940391,136.667253,136.667253,0.000008,97,2.968314,0,0,0,0.000000
2025-01-10,ok,,24,288,16,2.000000,2.000000,4.923913,4.167600,-161.870357,381.390524,18.183026,4.545757,196.791384,184.063047,184.063047,0.000080,97,2.962060,0,0,0,0.000000
2025-01-11,ok,,24,288,8,2.000000,2.000000,5.500000,4.655200,-89.896745,445.997119,20.310400,5.077600,330.712374,207.756409,207.756409,0.000031,97,3.383624,0,0,0,0.000000
2025-01-12,ok,,24,288,8,2.000000,2.000000,5.082231,4.301600,-124.115550,160.109798,18.767661,4.691915,12.534672,207.756409,207.756409,0.000087,97,3.375478,0,0,0,0.000000
2025-01-13,ok,,24,288,16,2.000000,2.000000,5.021267,4.250000,-41.625968,354.350736,18.542533,4.635633,289.546602,183.426877,183.426877,0.000043,97,3.084465,0,0,0,0.000000
2025-01-14,ok,,24,288,16,2.000000,2.000000,4.643195,3.930000,-108.666544,284.750649,17.146389,4.286597,154.651118,183.426877,183.426877,0.000078,97,2.804366,0,0,0,0.000000
2025-01-15,ok,,24,288,16,2.000000,2.000000,2.764650,2.340000,-176.501984,72.495813,10.209301,2.552325,-116.767797,182.059763,182.059763,0.000000,97,2.897152,0,0,0,0.000000
2025-01-16,ok,,24,288,16,2.000000,2.000000,3.219282,2.724800,-140.947824,-163.783758,11.888163,2.972041,-319.591787,174.550624,174.550624,0.000044,97,3.121734,0,0,0,0.000000
2025-01-17,ok,,24,288,16,2.000000,2.000000,4.469282,3.782800,-175.932008,199.723750,16.504163,4.126041,3.161539,208.687153,208.687153,0.000071,97,3.224425,0,0,0,0.000000
2025-01-18,ok,,24,288,8,2.000000,2.000000,4.725898,4.000000,-256.212161,512.294758,17.451796,4.362949,234.267852,266.414042,266.414042,0.000090,97,3.276247,0,0,0,0.000000
2025-01-19,ok,,24,288,8,2.000000,2.000000,5.173913,4.379200,-594.818378,633.229223,19.106226,4.776557,14.528063,266.414042,266.414042,0.000094,97,3.267478,0,0,0,0.000000
2025-01-20,ok,,24,288,16,2.000000,2.000000,3.969282,3.359600,-390.310779,383.888365,14.657763,3.664441,-24.744617,180.555220,180.555220,0.000076,97,3.000186,0,0,0,0.000000
2025-01-21,ok,,24,288,16,2.000000,2.000000,2.173913,1.840000,-514.766600,391.699839,8.027826,2.006957,-133.101543,180.555220,180.555220,0.000034,97,3.580957,0,0,0,0.000000
2025-01-22,ok,,24,288,16,2.000000,2.000000,2.469282,2.090000,-771.477103,773.249521,9.118563,2.279641,-9.625786,305.609542,305.609542,0.000048,97,3.271666,0,0,0,0.000000
2025-01-23,ok,,24,288,16,2.000000,2.000000,2.810019,2.378400,-432.201326,325.800611,10.376838,2.594209,-119.371763,290.528081,290.528081,0.000000,97,3.183709,0,0,0,0.000000
2025-01-24,ok,,24,288,16,2.000000,2.000000,3.544423,3.000000,-431.088952,809.350337,13.088847,3.272212,361.900326,310.070017,310.070017,0.000087,97,3.436824,0,0,0,0.000000
2025-01-25,ok,,24,288,8,2.000000,2.000000,4.423913,3.744400,-189.427428,49.873421,16.336626,4.084157,-159.974790,267.391277,267.391277,0.000070,97,3.532989,0,0,0,0.000000
2025-01-26,ok,,24,288,8,2.000000,2.000000,4.673913,3.956000,-237.110737,183.226693,17.259826,4.314957,-75.458827,267.391277,267.391277,0.000076,97,3.361901,0,0,0,0.000000
2025-01-27,ok,,24,288,16,2.000000,2.000000,6.157372,5.211600,-215.576913,151.901887,22.737945,5.684486,-92.097457,324.522344,324.522344,0.000087,97,3.270411,0,0,0,0.000000
2025-01-28,ok,,24,288,16,2.000000,2.000000,7.855388,6.648800,-329.796298,577.797236,29.008375,7.252094,211.740469,324.522344,324.522344,0.000086,97,3.090725,0,0,0,0.000000
2025-01-29,ok,,24,288,16,2.000000,2.000000,6.469282,5.475600,-231.236896,988.845488,23.889763,5.972441,727.746388,365.725107,365.725107,0.000092,97,3.067188,0,0,0,0.000000
2025-01-30,ok,,24,288,16,2.000000,2.000000,4.991493,4.224800,-4.373046,260.948487,18.432587,4.608147,233.534708,373.669323,373.669323,0.000000,97,3.425375,0,0,0,0.000000
2025-01-31,ok,,24,288,16,2.000000,2.000000,3.423913,2.898000,-164.956848,81.901819,12.643826,3.160957,-98.859812,435.089173,435.089173,0.000056,97,3.246103,0,0,0,0.000000
2025-02-01,ok,,24,288,8,2.000000,2.000000,5.689509,4.815600,-106.724600,155.624747,21.010217,5.252554,22.637376,311.908983,311.909788,0.000082,97,4.255919,0,0,0,0.000000
2025-02-02,ok,,24,288,8,2.000000,2.000000,5.552457,4.699600,-68.273954,636.507802,20.504115,5.126029,542.603704,311.908983,311.909788,0.000045,97,4.084492,0,0,0,0.000000
2025-02-03,ok,,24,288,16,2.000000,2.000000,6.082231,5.148000,-153.153734,77.313623,22.460461,5.615115,-103.915687,367.686450,367.686450,0.000090,97,3.167700,0,0,0,0.000000
2025-02-04,ok,,24,288,16,2.000000,2.000000,3.423913,2.898000,-119.018505,60.669473,12.643826,3.160957,-74.153815,367.686450,367.686450,0.000078,97,3.129926,0,0,0,0.000000
2025-02-05,ok,,24,288,16,2.000000,2.000000,5.105388,4.321200,-203.198176,159.345654,18.853175,4.713294,-67.418990,423.083064,423.083064,0.000059,97,3.216760,0,0,0,0.000000
2025-02-06,ok,,24,288,16,2.000000,2.000000,7.203686,6.097200,-166.940546,919.946465,26.601772,6.650443,719.753703,368.226066,368.226066,0.000096,97,3.100393,0,0,0,0.000000
2025-02-07,ok,,24,288,16,2.000000,2.000000,3.423913,2.898000,-105.210783,149.637850,12.643826,3.160957,28.622285,330.184832,330.184832,0.000088,97,3.191141,0,0,0,0.000000
2025-02-08,ok,,24,288,8,2.000000,2.000000,4.400756,3.724800,-119.463113,24.739535,16.251112,4.062778,-115.037468,306.116400,306.116400,0.000000,97,3.814709,0,0,0,0.000000
2025-02-09,ok,,24,288,8,2.000000,2.000000,5.143195,4.353200,-112.023555,179.191120,18.992789,4.748197,43.426578,306.116400,306.116400,0.000015,97,3.480588,0,0,0,0.000000
2025-02-10,ok,,24,288,16,2.000000,2.000000,6.060019,5.129200,-63.248176,364.564080,22.378438,5.594609,273.342856,352.571972,352.571972,0.000074,97,2.737677,0,0,0,0.000000
2025-02-11,ok,,24,288,16,2.000000,2.000000,4.659263,3.943600,-111.334621,456.530088,17.205726,4.301431,323.688310,352.571972,352.571972,0.000065,97,3.226292,0,0,0,0.000000
2025-02-12,ok,,24,288,16,2.000000,2.000000,6.118620,5.178800,-257.997356,232.688215,22.594840,5.648710,-53.552691,332.088282,332.088282,0.000076,97,3.149145,0,0,0,0.000000
2025-02-13,ok,,24,288,16,2.000000,2.000000,5.052457,4.276400,-139.489394,166.496172,18.657715,4.664429,3.684634,321.566189,321.566189,0.000092,97,2.985573,0,0,0,0.000000
2025-02-14,ok,,24,288,16,2.000000,2.000000,3.173913,2.686400,-21.083831,97.370803,11.720626,2.930157,61.636189,279.295124,279.295124,0.000015,97,3.008693,0,0,0,0.000000
2025-02-15,ok,,24,288,8,2.000000,2.000000,6.271267,5.308000,-225.984361,274.435586,23.158533,5.789633,19.503059,293.211039,293.211039,0.000084,97,3.257145,0,0,0,0.000000
2025-02-16,ok,,24,288,8,2.000000,2.000000,6.089792,5.154400,-135.292350,428.229221,22.488384,5.622096,264.826390,293.211039,293.211039,0.000079,97,3.245640,0,0,0,0.000000
2025-02-17,ok,,24,288,16,2.000000,2.000000,5.097826,4.314800,-79.637150,773.082300,18.825252,4.706313,669.913585,276.943764,276.943764,0.000099,97,2.719591,0,0,0,0.000000
2025-02-18,ok,,24,288,16,2.000000,2.000000,5.847826,4.949600,28.498796,341.934999,21.594852,5.398713,343.440230,276.943764,276.943764,0.000078,97,3.215525,0,0,0,0.000000
2025-02-19,ok,,24,288,16,2.000000,2.000000,4.923913,4.167600,-316.895682,384.416725,18.183026,4.545757,44.792261,309.139734,309.139734,0.000039,97,3.536381,0,0,0,0.000000
2025-02-20,ok,,24,288,16,2.000000,2.000000,5.673913,4.802400,-349.190437,451.335301,20.952626,5.238157,75.954081,341.792792,341.792792,0.000057,97,3.421196,0,0,0,0.000000
2025-02-21,ok,,24,288,16,2.000000,2.000000,5.529301,4.680000,-282.088400,535.660309,20.418601,5.104650,228.048657,310.882644,310.882644,0.000099,97,3.352007,0,0,0,0.000000
2025-02-22,ok,,24,288,8,2.000000,2.000000,6.309074,5.340000,-142.814209,464.138499,23.298147,5.824537,292.201606,282.436217,282.436217,0.000086,97,3.321091,0,0,0,0.000000
2025-02-23,ok,,24,288,8,2.000000,2.000000,4.930529,4.173200,-208.921849,210.386409,18.207459,4.551865,-21.294763,282.436217,282.436217,0.000000,97,3.718345,0,0,0,0.000000
2025-02-24,ok,,24,288,16,2.000000,2.000000,3.203686,2.711600,-35.970945,26.365090,11.830572,2.957643,-24.394070,280.608682,280.608682,0.000061,97,2.961351,0,0,0,0.000000
2025-02-25,ok,,24,288,16,2.000000,2.000000,3.264650,2.763200,-33.698227,132.651492,12.055701,3.013925,83.883639,280.608682,280.608682,0.000000,97,2.692077,0,0,0,0.000000
2025-02-26,ok,,24,288,16,2.000000,2.000000,4.885161,4.134800,-97.224897,380.932860,18.039921,4.509980,261.158061,263.125840,263.125840,0.000076,97,2.650345,0,0,0,0.000000
2025-02-27,ok,,24,288,16,2.000000,2.000000,3.014650,2.551600,-136.596064,73.611814,11.132501,2.783125,-76.899876,279.914303,279.914303,0.000029,97,3.252475,0,0,0,0.000000
2025-02-28,ok,,24,288,16,2.000000,2.000000,3.325614,2.814800,-62.113907,21.871002,12.280829,3.070207,-55.593941,273.825320,273.825320,0.000096,97,2.809370,0,0,0,0.000000
2025-03-01,ok,,24,288,8,2.000000,2.000000,3.544423,3.000000,-177.309792,124.145130,13.088847,3.272212,-69.525720,237.931539,237.931539,0.000083,97,2.799135,0,0,0,0.000000
2025-03-02,ok,,24,288,8,2.000000,2.000000,3.014650,2.551600,-257.475877,328.515847,11.132501,2.783125,57.124344,237.931539,237.931539,0.000093,97,2.915554,0,0,0,0.000000
2025-03-03,ok,,24,288,16,2.000000,2.000000,5.589792,4.731200,-283.134307,557.623151,20.641984,5.160496,248.686364,262.315217,262.315217,0.000082,97,2.894762,0,0,0,0.000000
2025-03-04,ok,,24,288,16,2.000000,2.000000,3.544423,3.000000,-163.033051,234.538985,13.088847,3.272212,55.144876,262.315217,262.315217,0.000055,97,2.667067,0,0,0,0.000000
2025-03-05,ok,,24,288,16,2.000000,2.000000,3.673913,3.109600,-85.294797,163.262243,13.567026,3.391757,61.008664,281.917474,281.917474,0.000037,97,2.843055,0,0,0,0.000000
2025-03-06,ok,,24,288,16,2.000000,2.000000,3.514650,2.974800,-98.514435,93.988975,12.978901,3.244725,-20.749086,279.655231,279.655231,0.000003,97,2.933590,0,0,0,0.000000
2025-03-07,ok,,24,288,16,2.000000,2.000000,3.499055,2.961600,-91.128123,58.236663,12.921310,3.230327,-49.043097,256.043441,256.043441,0.000099,97,2.941772,0,0,0,0.000000
2025-03-08,ok,,24,288,8,2.000000,2.000000,3.560019,3.013200,-33.230914,36.458801,13.146438,3.286609,-13.205161,181.159628,181.159628,0.000093,97,2.431619,0,0,0,0.000000
2025-03-09,ok,,23,276,8,2.000000,2.000000,2.719282,2.301600,-60.147794,-24.437510,10.041763,2.510441,-97.137508,170.884320,170.884320,0.000079,93,2.869926,0,0,0,0.000000
2025-03-10,ok,,24,288,16,2.000000,2.000000,3.014650,2.551600,-100.336786,64.549445,11.132501,2.783125,-49.702967,252.341562,252.341562,0.000097,97,3.124080,0,0,0,0.000000
2025-03-11,ok,,24,288,16,2.000000,2.000000,2.423913,2.051600,-78.576333,128.253622,8.951026,2.237757,38.488507,252.341562,252.341562,0.000042,97,3.320551,0,0,0,0.000000
2025-03-12,ok,,24,288,16,2.000000,2.000000,3.499055,2.961600,-172.267646,181.762767,12.921310,3.230327,-6.656516,289.771374,289.771374,0.000000,97,2.837368,0,0,0,0.000000
2025-03-13,ok,,24,288,16,2.000000,2.000000,3.264650,2.763200,-78.682144,44.543594,12.055701,3.013925,-49.208175,265.990403,265.990403,0.000000,97,2.746071,0,0,0,0.000000
2025-03-14,ok,,24,288,16,2.000000,2.000000,2.923913,2.474800,-130.827152,119.933533,10.797426,2.699357,-24.390402,236.740094,236.740094,0.000096,97,3.107470,0,0,0,0.000000
2025-03-15,ok,,24,288,8,2.000000,2.000000,3.060019,2.590000,-88.565737,83.433600,11.300038,2.825009,-19.257183,185.164265,185.164265,0.000099,97,2.793326,0,0,0,0.000000
2025-03-16,ok,,24,288,8,2.000000,2.000000,3.014650,2.551600,-75.247926,132.257023,11.132501,2.783125,43.093472,185.164265,185.164265,0.000096,97,2.875756,0,0,0,0.000000
2025-03-17,ok,,24,288,16,2.000000,2.000000,4.430529,3.750000,-99.890046,156.920570,16.361059,4.090265,36.579200,225.319657,225.319657,0.000093,97,3.503489,0,0,0,0.000000
2025-03-18,ok,,24,288,16,2.000000,2.000000,4.014650,3.398000,-137.370212,602.024452,14.825301,3.706325,446.122615,225.319657,225.319657,0.000098,97,3.314438,0,0,0,0.000000
2025-03-19,ok,,24,288,16,2.000000,2.000000,4.219282,3.571200,-119.613467,421.138442,15.580963,3.895241,282.048771,264.888435,264.888435,0.000098,97,3.111669,0,0,0,0.000000
2025-03-20,ok,,24,288,16,2.000000,2.000000,3.461720,2.930000,-112.965888,38.410284,12.783440,3.195860,-90.534905,232.960631,232.960631,0.000097,97,3.200275,0,0,0,0.000000
2025-03-21,ok,,24,288,16,2.000000,2.000000,3.650756,3.090000,-117.230649,289.146514,13.481512,3.370378,155.063974,214.916479,214.916479,0.000077,97,3.564364,0,0,0,0.000000
2025-03-22,ok,,24,288,8,2.000000,2.000000,5.036862,4.263200,-80.980898,57.672811,18.600124,4.650031,-46.558242,198.485927,198.485927,0.000072,97,3.003042,0,0,0,0.000000
2025-03-23,ok,,24,288,8,2.000000,2.000000,3.658318,3.096400,-98.147557,169.109676,13.509435,3.377359,54.075325,198.485927,198.485927,0.000062,97,2.867177,0,0,0,0.000000
2025-03-24,ok,,24,288,16,2.000000,2.000000,5.233932,4.430000,-28.871540,188.829536,19.327864,4.831966,135.798167,152.150102,152.150102,0.000000,97,3.580000,0,0,0,0.000000
2025-03-25,ok,,24,288,16,2.000000,2.000000,5.316635,4.500000,-69.755711,161.861535,19.633270,4.908318,67.564237,152.150102,152.150102,0.000000,97,4.031810,0,0,0,0.000000
2025-03-26,ok,,24,288,16,2.000000,2.000000,6.498110,5.500000,-102.344403,250.071835,23.996219,5.999055,117.732157,189.720325,189.720325,0.000099,97,3.724618,0,0,0,0.000000
2025-03-27,ok,,24,288,16,2.000000,2.000000,4.469282,3.782800,-143.967887,112.870874,16.504163,4.126041,-51.727217,182.082107,182.082107,0.000034,97,3.849979,0,0,0,0.000000
2025-03-28,ok,,24,288,16,2.000000,2.000000,6.013705,5.090000,-106.871704,260.203553,22.207410,5.551853,125.572587,175.488289,175.488289,0.000090,97,3.768857,0,0,0,0.000000
2025-03-29,ok,,24,288,8,2.000000,2.000000,4.000000,3.385600,-64.987996,1.916466,14.771200,3.692800,-81.535531,98.643360,98.643360,0.000081,97,3.391397,0,0,0,0.000000
2025-03-30,ok,,24,288,8,2.000000,2.000000,4.938563,4.180000,-42.626492,66.870301,18.237127,4.559282,1.447400,98.643360,98.643360,0.000000,97,3.453392,0,0,0,0.000000
2025-03-31,ok,,24,288,16,2.000000,2.000000,4.999055,4.231200,-93.103821,161.535619,18.460510,4.615127,45.356161,192.124994,192.124994,0.000045,97,3.708755,0,0,0,0.000000
2025-04-01,ok,,24,288,16,2.000000,2.000000,6.218336,5.263200,-135.786793,533.498208,22.963073,5.740768,369.007574,192.124994,192.124994,0.000085,97,3.977595,0,0,0,0.000000
2025-04-02,ok,,24,288,16,2.000000,2.000000,6.596881,5.583600,-106.154727,285.937062,24.360962,6.090240,149.331133,144.409295,144.409295,0.000095,97,3.514170,0,0,0,0.000000
2025-04-03,ok,,24,288,16,2.000000,2.000000,4.430529,3.750000,-134.052057,178.252731,16.361059,4.090265,23.749351,185.435141,185.435141,0.000089,97,4.276145,0,0,0,0.000000
2025-04-04,ok,,24,288,16,2.000000,2.000000,5.196125,4.398000,-135.324943,118.200334,19.188250,4.797062,-41.109921,187.489372,187.489372,0.000074,97,4.298970,0,0,0,0.000000
2025-04-05,ok,,24,288,8,2.000000,2.000000,4.135161,3.500000,-119.215905,97.715480,15.270321,3.817580,-40.588327,79.006046,79.006046,0.000000,97,3.552527,0,0,0,0.000000
2025-04-06,ok,,24,288,8,2.000000,2.000000,4.500000,3.808800,-150.917092,256.328777,16.617600,4.154400,84.639684,79.006046,79.006046,0.000000,97,3.388316,0,0,0,0.000000
2025-04-07,ok,,24,288,16,2.000000,2.000000,4.339792,3.673200,-138.645053,134.630065,16.025984,4.006496,-24.047468,178.772473,178.772473,0.000056,97,3.250455,0,0,0,0.000000
2025-04-08,ok,,24,288,16,2.000000,2.000000,6.498110,5.500000,-173.882375,264.327877,23.996219,5.999055,60.450228,178.772473,178.772473,0.000094,97,3.561710,0,0,0,0.000000
2025-04-09,ok,,24,288,16,2.000000,2.000000,4.741493,4.013200,-131.848649,224.440890,17.509387,4.377347,70.705507,149.558824,149.558824,0.000072,97,3.390616,0,0,0,0.000000
2025-04-10,ok,,24,288,16,2.000000,2.000000,4.135161,3.500000,-101.973708,95.540267,15.270321,3.817580,-25.521343,128.935462,128.947357,0.000092,97,3.631323,0,0,0,0.000000
