date,why,fail,hours,bins,analogs,e0,e1,ch,dis,rda,rrt,deg,fee,net,z,ub,gap,solves,sec,hold,coarse,cold,viol
2025-01-01,ok,,24,288,8,2.000000,2.000000,3.855388,3.263200,-55.230400,100.772735,14.237175,3.559294,27.745866,282.314115,282.314115,0.000098,97,4.244082,0,0,0,0.000000
2025-01-02,ok,,24,288,8,2.000000,2.000000,5.150756,4.359600,-56.523187,174.382019,19.020712,4.755178,94.082942,269.490814,269.496136,0.000092,97,4.532334,0,0,0,0.000000
2025-01-03,ok,,24,288,8,2.000000,2.000000,3.514650,2.974800,53.327779,80.699749,12.978901,3.244725,117.803902,162.546906,162.546906,0.000089,97,4.037930,0,0,0,0.000000
2025-01-04,ok,,24,288,8,2.000000,2.000000,6.710775,5.680000,-46.798355,108.433376,24.781550,6.195388,30.658083,152.454412,152.454412,0.000093,97,4.619784,0,0,0,0.000000
2025-01-05,ok,,24,288,8,2.000000,2.000000,6.423913,5.437200,-43.574234,137.727695,23.722226,5.930557,64.500678,152.454412,152.454412,0.000093,97,4.439153,0,0,0,0.000000
2025-01-06,ok,,24,288,8,2.000000,2.000000,3.725898,3.153600,-219.597575,581.669529,13.758996,3.439749,344.873209,166.045069,166.045069,0.000076,97,5.239086,0,0,0,0.000000
2025-01-07,ok,,24,288,8,2.000000,2.000000,2.173913,1.840000,-248.689698,132.998013,8.027826,2.006957,-125.726467,166.045069,166.045069,0.000099,97,5.272672,0,0,0,0.000000
2025-01-08,ok,,24,288,8,2.000000,2.000000,3.923913,3.321200,-311.833339,156.657214,14.490226,3.622557,-173.288907,228.770162,228.770162,0.000089,97,5.209839,0,0,0,0.000000
2025-01-09,ok,,24,288,8,2.000000,2.000000,2.923913,2.474800,13.480730,-111.492498,10.797426,2.699357,-111.508550,251.526219,251.526219,0.000068,97,5.421762,0,0,0,0.000000
2025-01-10,ok,,24,288,8,2.000000,2.000000,5.423913,4.590800,-44.740512,287.527292,20.029426,5.007357,217.749998,270.883518,270.883518,0.000080,97,5.127259,0,0,0,0.000000
2025-01-11,ok,,24,288,8,2.000000,2.000000,5.590737,4.732000,-89.896745,454.138385,20.645474,5.161369,338.434796,222.613591,222.613633,0.000089,97,4.967608,0,0,0,0.000000
2025-01-12,ok,,24,288,8,2.000000,2.000000,4.491493,3.801600,-124.115550,151.295261,16.586187,4.146547,6.446978,222.613591,222.613633,0.000095,97,5.141571,0,0,0,0.000000
2025-01-13,ok,,24,288,8,2.000000,2.000000,5.719282,4.840800,56.931814,208.799240,21.120163,5.280041,239.330850,262.400338,262.400338,0.000095,97,5.038959,0,0,0,0.000000
