month,days,rda,rrt,deg,fee,net
2025-01,31,-4928.703993,6547.605352,522.340975,130.585244,965.975140
2025-02,28,-3434.764667,7022.678809,551.031728,137.757932,2899.124482
2025-03,31,-3342.614125,4889.578894,488.613635,122.153409,936.197726
2025-04,30,-2373.099869,3515.275768,474.261278,118.565319,549.349301
2025-05,31,-1719.314953,3199.225559,433.528786,108.382197,937.999623
2025-06,30,-1419.219378,143.866970,412.855389,103.213847,-1791.421644
2025-07,31,-8910.496213,31317.346859,624.566615,156.141654,21626.142377
2025-08,31,-2028.761946,3764.028208,506.414467,126.603617,1102.248178
2025-09,30,-56.585270,1597.736636,445.252903,111.313226,984.585238
2025-10,31,-2370.682922,6752.099693,571.200768,142.800192,3667.415810
2025-11,30,-1471.602331,3968.126232,551.775174,137.943794,1806.804933
2025-12,31,-2767.056768,2713.279577,400.106852,100.026713,-553.910756
