month,days,rda,rrt,deg,fee,net
2025-01,31,-6724.522030,8876.579722,502.313295,125.578324,1524.166073
2025-02,28,-3825.090025,8179.677233,514.985043,128.746261,3710.855904
2025-03,31,-3392.501085,5265.648337,457.177715,114.294429,1301.675109
2025-04,30,-2701.295306,3887.898645,486.934772,121.733693,577.934874
2025-05,31,-1726.088047,3471.540782,411.228882,102.807220,1231.416633
2025-06,30,-2510.180930,4785.737937,395.492597,98.873149,1781.191260
2025-07,31,-8122.521050,30554.693413,585.971968,146.492992,21699.707403
2025-08,31,-1144.905403,3586.322845,487.597940,121.899485,1831.920017
2025-09,30,210.412378,1631.706522,416.460930,104.115233,1321.542737
2025-10,31,-2242.836017,6397.044129,563.717438,140.929360,3449.561314
2025-11,30,-1585.793618,5044.807982,576.364755,144.091189,2738.558420
2025-12,31,-2654.063412,3178.842796,412.036900,103.009225,9.733260
