date,why,fail,hours,bins,analogs,e0,e1,ch,dis,rda,rrt,deg,fee,net,z,ub,gap,solves,sec,hold,coarse,cold,viol
2025-01-01,ok,,24,288,0,2.000000,2.000000,4.400756,3.724800,-85.040323,270.639257,16.251112,4.062778,165.285043,154.563902,154.563902,0.000000,97,1.655078,0,0,0,0.000000
2025-01-02,ok,,24,288,0,2.000000,2.000000,5.196125,4.398000,-86.623180,486.948131,19.188250,4.797062,376.339639,351.947862,351.947862,0.000000,97,1.509039,0,0,0,0.000000
2025-01-03,ok,,24,288,0,2.000000,2.000000,3.544423,3.000000,-33.600967,313.279874,13.088847,3.272212,263.317848,245.340135,245.340135,0.000000,97,1.265421,0,0,0,0.000000
2025-01-04,ok,,24,288,0,2.000000,2.000000,7.332231,6.206000,-112.259759,977.599189,27.076461,6.769115,831.493853,791.052513,791.052513,0.000000,97,1.237534,0,0,0,0.000000
2025-01-05,ok,,24,288,0,2.000000,2.000000,6.097826,5.161200,-196.436656,1365.816540,22.518052,5.629513,1141.232319,1068.610959,1068.610959,0.000000,97,1.218140,0,0,0,0.000000
2025-01-06,ok,,24,288,0,2.000000,2.000000,5.840737,4.943600,-129.934621,1316.822977,21.568674,5.392169,1159.927513,1107.956374,1107.956374,0.000091,97,1.222989,0,0,0,0.000000
2025-01-07,ok,,24,288,0,2.000000,2.000000,4.923913,4.167600,48.861441,464.407673,18.183026,4.545757,490.540331,391.208266,391.208266,0.000093,97,1.142547,0,0,0,0.000000
2025-01-08,ok,,24,288,0,2.000000,2.000000,6.772212,5.732000,-270.953824,1449.907960,25.008423,6.252106,1147.693607,1070.264688,1070.264688,0.000083,97,1.180916,0,0,0,0.000000
2025-01-09,ok,,24,288,0,2.000000,2.000000,8.673913,7.341600,-190.343580,1424.947002,32.031026,8.007757,1194.564640,1137.730606,1137.730606,0.000068,97,1.269962,0,0,0,0.000000
2025-01-10,ok,,24,288,0,2.000000,2.000000,8.861059,7.500000,-331.991769,1145.760087,32.722117,8.180529,772.865671,724.986844,724.986844,0.000090,97,1.645718,0,0,0,0.000000
2025-01-11,ok,,24,288,0,2.000000,2.000000,9.073724,7.680000,-173.456221,1178.266346,33.507448,8.376862,962.925815,875.316436,875.316436,0.000000,97,1.285561,0,0,0,0.000000
2025-01-12,ok,,24,288,0,2.000000,2.000000,7.755671,6.564400,-131.864849,566.876410,28.640142,7.160036,399.211383,348.049179,348.049179,0.000097,97,1.379723,0,0,0,0.000000
2025-01-13,ok,,24,288,0,2.000000,2.000000,6.188563,5.238000,-19.925578,643.892066,22.853127,5.713282,595.400080,531.381964,531.381964,0.000000,97,1.334752,0,0,0,0.000000
2025-01-14,ok,,24,288,0,2.000000,2.000000,6.665406,5.641600,-104.291491,616.433897,24.614013,6.153503,481.374889,448.903530,448.903530,0.000000,97,1.202714,0,0,0,0.000000
2025-01-15,ok,,24,288,0,2.000000,2.000000,8.945652,7.571600,-473.310226,1818.058816,33.034504,8.258626,1303.455459,1261.474681,1261.556132,0.000065,97,1.362541,0,0,0,0.000000
2025-01-16,ok,,24,288,0,2.000000,2.000000,7.551512,6.391600,-366.808162,2486.787041,27.886225,6.971556,2085.121098,1993.142505,1993.142505,0.000097,97,1.269668,0,0,0,0.000000
2025-01-17,ok,,24,288,0,2.000000,2.000000,9.089792,7.693600,-284.346485,1871.863676,33.566784,8.391696,1545.558711,1434.563701,1434.563701,0.000097,97,1.294261,0,0,0,0.000000
2025-01-18,ok,,24,288,0,2.000000,2.000000,7.673913,6.495200,-182.355379,1172.454854,28.338226,7.084557,954.676692,890.744861,890.744861,0.000000,97,1.206088,0,0,0,0.000000
2025-01-19,ok,,24,288,0,2.000000,2.000000,6.855388,5.802400,-195.473157,1078.622932,25.315575,6.328894,851.505306,835.731779,835.731779,0.000000,97,1.225452,0,0,0,0.000000
2025-01-20,ok,,24,288,0,2.000000,2.000000,6.793478,5.750000,-312.259585,2145.733898,25.086957,6.271739,1802.115617,1699.067840,1699.067840,0.000000,97,1.213561,0,0,0,0.000000
2025-01-21,ok,,24,288,0,2.000000,2.000000,5.673913,4.802400,-488.698156,1904.691753,20.952626,5.238157,1389.802815,1320.354839,1320.354839,0.000000,97,1.160506,0,0,0,0.000000
2025-01-22,ok,,24,288,0,2.000000,2.000000,7.051985,5.968800,-397.564800,1738.637942,26.041570,6.510392,1308.521180,1241.749900,1241.749900,0.000098,97,1.436238,0,0,0,0.000000
2025-01-23,ok,,24,288,0,2.000000,2.000000,6.173913,5.225600,6.829149,912.622184,22.799026,5.699757,890.952550,759.298509,759.298509,0.000097,97,1.190548,0,0,0,0.000000
2025-01-24,ok,,24,288,0,2.000000,2.000000,7.679584,6.500000,-232.116894,1428.248195,28.359168,7.089792,1160.682340,1064.549835,1064.549835,0.000000,97,1.368650,0,0,0,0.000000
2025-01-25,ok,,24,288,0,2.000000,2.000000,9.218336,7.802400,-187.764598,1002.707095,34.041473,8.510368,772.390656,674.639459,674.639459,0.000000,97,1.226307,0,0,0,0.000000
2025-01-26,ok,,24,288,0,2.000000,2.000000,8.529773,7.219600,-137.452433,1652.446543,31.498746,7.874687,1475.620677,1358.650517,1358.779108,0.000099,97,1.845932,0,0,0,0.000000
2025-01-27,ok,,24,288,0,2.000000,2.000000,9.111059,7.711600,-126.973128,1112.528113,33.645317,8.411329,943.498338,779.793450,779.793450,0.000018,97,1.386730,0,0,0,0.000000
2025-01-28,ok,,24,288,0,2.000000,2.000000,9.643195,8.162000,-223.617561,1306.234199,35.610389,8.902597,1038.103651,947.748910,947.748910,0.000000,97,1.186602,0,0,0,0.000000
2025-01-29,ok,,24,288,0,2.000000,2.000000,10.000000,8.464000,-234.396740,1904.056848,36.928000,9.232000,1623.500108,1510.943232,1510.943232,0.000000,97,1.108285,0,0,0,0.000000
2025-01-30,ok,,24,288,0,2.000000,2.000000,9.104442,7.706000,277.430182,896.028873,33.620885,8.405221,1131.432950,977.188510,977.188510,0.000000,97,1.403994,0,0,0,0.000000
2025-01-31,ok,,24,288,0,2.000000,2.000000,5.612004,4.750000,74.689797,404.830256,20.724008,5.181002,453.615043,404.166086,404.166086,0.000000,97,1.304824,0,0,0,0.000000
2025-02-01,ok,,24,288,0,2.000000,2.000000,7.484405,6.334800,-105.021059,836.309471,27.638409,6.909602,696.740402,611.288992,611.288992,0.000021,97,1.190706,0,0,0,0.000000
2025-02-02,ok,,24,288,0,2.000000,2.000000,8.172968,6.917600,-100.956666,1452.560464,30.181136,7.545284,1313.877378,1118.097404,1118.097404,0.000000,97,1.492893,0,0,0,0.000000
2025-02-03,ok,,24,288,0,2.000000,2.000000,7.384216,6.250000,-149.374211,997.373407,27.268431,6.817108,813.913658,719.762189,719.762189,0.000000,97,1.689762,0,0,0,0.000000
2025-02-04,ok,,24,288,0,2.000000,2.000000,9.000000,7.617600,-80.914833,699.286904,33.235200,8.308800,576.828071,512.879230,512.879230,0.000000,97,1.078575,0,0,0,0.000000
2025-02-05,ok,,24,288,0,2.000000,2.000000,8.013705,6.782800,-265.439942,1175.143005,29.593010,7.398253,872.711800,798.847322,798.847322,0.000000,97,1.504225,0,0,0,0.000000
2025-02-06,ok,,24,288,0,2.000000,2.000000,8.051512,6.814800,-145.732208,1706.259220,29.732625,7.433156,1523.361231,1461.717588,1461.717588,0.000000,97,1.291446,0,0,0,0.000000
2025-02-07,ok,,24,288,0,2.000000,2.000000,8.006144,6.776400,-87.053762,573.641642,29.565087,7.391272,449.631521,408.040961,408.040961,0.000000,97,1.235728,0,0,0,0.000000
2025-02-08,ok,,24,288,0,2.000000,2.000000,7.500000,6.348000,-130.490617,552.387695,27.696000,6.924000,387.277078,365.118225,365.133925,0.000043,97,1.078704,0,0,0,0.000000
2025-02-09,ok,,24,288,0,2.000000,2.000000,8.491493,7.187200,-28.969957,619.485650,31.357387,7.839347,551.318960,504.394844,504.394844,0.000096,97,1.328226,0,0,0,0.000000
2025-02-10,ok,,24,288,0,2.000000,2.000000,6.620038,5.603200,75.642609,920.160590,24.446476,6.111619,965.245105,862.870978,862.870978,0.000000,97,1.511484,0,0,0,0.000000
2025-02-11,ok,,24,288,0,2.000000,2.000000,5.310019,4.494400,83.495958,801.841773,19.608838,4.902209,860.826684,746.522983,746.522983,0.000020,97,1.340554,0,0,0,0.000000
2025-02-12,ok,,24,288,0,2.000000,2.000000,7.143195,6.046000,68.765714,700.320576,26.378389,6.594597,736.113303,682.474541,682.474541,0.000000,97,1.180191,0,0,0,0.000000
2025-02-13,ok,,24,288,0,2.000000,2.000000,7.596881,6.430000,-138.322380,947.344429,28.053762,7.013440,773.954847,720.606704,720.606704,0.000097,97,1.230324,0,0,0,0.000000
2025-02-14,ok,,24,288,0,2.000000,2.000000,6.786862,5.744400,-81.669746,471.701415,25.062524,6.265631,358.703514,332.042119,332.042119,0.000077,97,1.637129,0,0,0,0.000000
2025-02-15,ok,,24,288,0,2.000000,2.000000,5.907372,5.000000,-217.380630,615.488224,21.814745,5.453686,370.839163,342.277356,342.277356,0.000000,97,1.197246,0,0,0,0.000000
2025-02-16,ok,,24,288,0,2.000000,2.000000,5.907372,5.000000,-209.210384,1011.321412,21.814745,5.453686,774.842597,725.308464,725.308464,0.000044,97,1.369091,0,0,0,0.000000
2025-02-17,ok,,24,288,0,2.000000,2.000000,6.536862,5.532800,-433.348611,1724.274832,24.139324,6.034831,1260.752066,1194.667123,1194.667123,0.000073,97,1.271928,0,0,0,0.000000
2025-02-18,ok,,24,288,0,2.000000,2.000000,7.392722,6.257200,-383.149332,1724.103740,27.299844,6.824961,1306.829603,1182.260151,1182.260151,0.000051,97,1.568461,0,0,0,0.000000
2025-02-19,ok,,24,288,0,2.000000,2.000000,6.923913,5.860400,-274.657887,1214.665146,25.568626,6.392157,908.046477,804.064943,804.064943,0.000000,97,1.100485,0,0,0,0.000000
2025-02-20,ok,,24,288,0,2.000000,2.000000,6.801985,5.757200,-182.536397,1062.077743,25.118370,6.279592,848.143384,781.964780,781.964780,0.000099,97,1.259307,0,0,0,0.000000
2025-02-21,ok,,24,288,0,2.000000,2.000000,8.543478,7.231200,-349.023856,1656.483372,31.549357,7.887339,1268.022820,1169.128886,1169.128886,0.000099,97,1.362487,0,0,0,0.000000
