month,days,rda,rrt,deg,fee,net
2025-01,31,-5302.049554,37058.150625,834.700198,208.675050,30712.725823
2025-02,28,-3836.013264,25940.645060,720.371738,180.092935,21204.167122
2025-03,31,-2291.605393,12915.200751,666.128067,166.532017,9790.935275
2025-04,30,-1143.053416,10020.315214,550.740283,137.685071,8188.836444
2025-05,31,-1125.548249,8200.986906,495.266259,123.816565,6456.355833
2025-06,30,-3274.717292,31969.511309,491.433845,122.858461,28080.501711
2025-07,31,-1842.669902,42576.134990,552.274296,138.068574,40043.122219
2025-08,31,649.374643,7616.831721,462.730876,115.682719,7687.792768
2025-09,30,-852.852477,8041.374106,532.539805,133.134951,6522.846873
2025-10,31,-524.216595,10634.737538,620.758633,155.189658,9334.572652
2025-11,30,-1245.364023,11617.108063,609.664526,152.416132,9609.663382
2025-12,31,-2041.053934,15833.426220,563.038563,140.759641,13088.574081
