month,days,rda,rrt,deg,fee,net
2025-01,31,0.000000,0.000000,0.000000,0.000000,0.000000
2025-02,28,0.000000,0.000000,0.000000,0.000000,0.000000
2025-03,31,0.000000,0.000000,0.000000,0.000000,0.000000
2025-04,30,0.000000,0.000000,0.000000,0.000000,0.000000
2025-05,31,0.000000,0.000000,0.000000,0.000000,0.000000
2025-06,30,0.000000,0.000000,0.000000,0.000000,0.000000
2025-07,31,0.000000,0.000000,0.000000,0.000000,0.000000
2025-08,31,0.000000,0.000000,0.000000,0.000000,0.000000
2025-09,30,0.000000,0.000000,0.000000,0.000000,0.000000
2025-10,31,0.000000,0.000000,0.000000,0.000000,0.000000
2025-11,30,0.000000,0.000000,0.000000,0.000000,0.000000
2025-12,31,0.000000,0.000000,0.000000,0.000000,0.000000
